Sl. No.,India/State/UT,Percentage of Schools having Enrolments across various Enrolment Brackets - Total,Percentage of Schools having Enrolments across various Enrolment Brackets - < 10,Percentage of Schools having Enrolments across various Enrolment Brackets - 11-20,Percentage of Schools having Enrolments across various Enrolment Brackets - 21-30,Percentage of Schools having Enrolments across various Enrolment Brackets - 31-40,Percentage of Schools having Enrolments across various Enrolment Brackets - 41-50,Percentage of Schools having Enrolments across various Enrolment Brackets - 51-60,Percentage of Schools having Enrolments across various Enrolment Brackets - 61-70,Percentage of Schools having Enrolments across various Enrolment Brackets - 71-80,Percentage of Schools having Enrolments across various Enrolment Brackets - 81-90,Percentage of Schools having Enrolments across various Enrolment Brackets - 91-100,Percentage of Schools having Enrolments across various Enrolment Brackets - 101-200,Percentage of Schools having Enrolments across various Enrolment Brackets - 201-300,Percentage of Schools having Enrolments across various Enrolment Brackets - 301-400,Percentage of Schools having Enrolments across various Enrolment Brackets - 401-500,Percentage of Schools having Enrolments across various Enrolment Brackets - >500
India,India,1466109,4.1,6.8,8.6,7.8,6.4,5.3,5.1,4.3,3.6,3.4,21.5,8.9,4.6,2.7,6.8
1,Andaman and Nicobar Islands,414,9.7,10.4,10.1,8.5,6.3,5.1,3.4,2.2,1.7,1.7,16.9,5.6,6.5,2.2,9.9
2,Andhra Pradesh,61680,7.1,11.1,14.6,9.8,5.8,3.6,4.1,2.8,2.3,2.4,14.9,8.1,4.5,3,6
3,Arunachal Pradesh,3543,24.4,14.7,8.9,6.1,5,4.1,3,2.9,2.5,2.5,13.4,5.6,2.8,1.6,2.7
4,Assam,58876,3.1,7.6,10.2,11.3,8.6,6.7,6.2,5.1,3.8,3.3,19.5,6.2,2.9,1.7,3.8
5,Bihar,91447,0.3,0.5,1,1.7,2.8,3.4,3.8,4,3.9,3.9,30.9,15.3,9.3,6,13.1
6,Chandigarh,230,0,0,0,0,0,0.4,0,0.4,0.4,0.9,6.5,7,4.8,3.9,75.7
7,Chhattisgarh,56333,2.7,8.8,11.3,11.6,9.9,7.9,7,5.5,4.3,3.7,16.7,4.5,2.2,1.4,2.5
8,Dadra and Nagar Haveli and Daman and Diu,459,0,4.6,6.1,5.7,6.1,5,4.1,4.6,2.4,3.5,20.7,12.4,6.1,3.9,14.8
9,Delhi,5488,0.3,0.7,0.6,0.8,0.8,1.1,1,1.2,1.3,1,13,10.9,9.5,7.8,50
10,Goa,1504,8.4,15.3,9.6,5.8,4,3.4,2.9,2.5,2.6,1.5,14.4,9,4.7,4,12
11,Gujarat,53603,1.5,3.6,5.4,6.1,4.9,3.9,4.8,3.5,2.8,2.7,25.3,14.4,8.2,4.3,8.6
12,Haryana,23561,1.5,2.6,5,6,4.6,4.3,5,4,3.3,3.5,23.9,11.9,7.7,5,11.6
13,Himachal Pradesh,18062,13,21.1,15,10,6.7,4.7,3.5,2.7,2.2,1.9,9.8,4,2.1,1.2,2
14,Jammu and Kashmir,24278,4.1,11.6,12.6,10.5,8.5,6.6,5.8,4.8,4.1,3.4,16.1,5.1,2.4,1.5,3
15,Jharkhand,44596,2.1,4.5,7.8,9.7,9,7.5,5.9,4.9,3.8,3.3,19.8,8.7,4.8,2.6,5.9
16,Karnataka,76090,6.5,10.4,8.3,6.1,5,4.1,3.7,3.7,3.5,3.1,20.5,10.9,5.3,2.9,6
17,Kerala,15934,2.4,2.7,3.5,4.2,3.9,3.6,3.9,3.7,3.4,3.3,19.9,10.4,6.6,4.8,23.7
18,Ladakh,979,30,22.5,11,7.3,4.9,3.8,2.9,1.8,2.3,0.9,5.8,2.1,1.7,0.9,1.9
19,Lakshadweep,37,0,0,0,0,0,2.7,0,2.7,0,0,27,16.2,13.5,18.9,18.9
20,Madhya Pradesh,122937,3.8,7.7,12.3,11.7,8.6,6.3,5.7,4.6,3.6,3,17.7,6.2,2.9,1.8,4.2
21,Maharashtra,108451,6.1,9.8,10.9,7.4,5,3.6,3.8,3,2.6,2.8,19.3,9.1,4.5,2.8,9.2
22,Manipur,4627,7.5,12.8,14.5,11.7,8.6,5.9,3.5,2.7,2.3,2.1,11.3,5.4,2.9,2.5,6.4
23,Meghalaya,14588,4.2,13.7,15.5,13.6,10.5,7.9,6.1,4.3,3.5,2.8,11.7,3.1,1.2,0.7,1.2
24,Mizoram,3891,5.1,10.4,14.4,14.5,11.6,8.9,6.3,4.8,3.2,2.4,11.4,3.3,1.6,0.7,1.4
25,Nagaland,2717,6.1,11.5,10.6,8.6,6.3,6.1,3.7,3.9,3.3,2.6,17.1,7.9,3.2,2.1,6.8
26,Odisha,61891,1,5.6,11.5,11.2,8.7,6.6,5.8,4.9,4.1,3.6,20.9,7.5,3.7,1.9,3
27,Puducherry,729,0.3,1.1,2.7,2.7,3.3,4.3,3.8,4.8,3,3.3,23.9,14.8,8.4,6.6,17
28,Punjab,27592,1.2,3.6,6.5,7.8,7.1,6.2,5.4,4.4,3.8,3.5,21.7,10.4,5.8,3.4,9.2
29,Rajasthan,106670,4.8,6.1,9.7,7.5,5.3,4.9,4.5,3.5,2.9,2.7,20.4,11.2,6.7,3.9,5.9
30,Sikkim,1250,9.5,17.8,11.9,8.4,8.2,6.1,3.9,3.2,2.5,2,13.5,4.7,2.8,2.3,3.1
31,Tamil Nadu,58150,3.1,9.3,10.8,8.5,5.8,4,4.1,3.4,3,3.1,18.7,7.6,4.1,2.9,11.5
32,Telangana,42476,9.4,8.4,9.5,7.2,5.3,4.2,4.5,3.6,2.9,2.8,17.7,8.2,5,3.3,7.7
33,Tripura,4912,7,14.4,12.3,9.4,6.6,5.1,4.4,3.1,3.1,2.4,13.5,6.4,3.8,2,6.5
34,Uttar Pradesh,251094,2.1,3.1,4.5,5.5,6.1,6.3,6.3,5.6,4.9,4.7,30,9.8,4.2,2.1,4.9
35,Uttarakhand,22618,16.6,19.4,11.7,7.8,4.9,3.5,3.1,2.5,2.3,1.9,13.3,5.3,2.6,1.4,3.8
36,West Bengal,94402,6.9,5.6,7.9,8.4,7.7,6.6,5.9,4.8,4.1,3.5,20.4,6.2,2.6,1.4,8
