At the end of March,Teledensity (per 100 Inhabitants),State,Total,Wireline,Wireless,Rural,Note of Rural,Urban,Note of Urban,Public,Private
2008,Teledensity (per 100 Inhabitants),Andhra Pradesh,28.25,3.29,24.96,10.44,NA,74.97,NA,5.98,22.27
2009,Teledensity (per 100 Inhabitants),Andhra Pradesh,111.83,8.65,103.18,36.32,NA,103.38,NA,19.2,92.63
2010,Teledensity (per 100 Inhabitants),Andhra Pradesh,57.23,2.93,54.3,24.33,NA,143.19,NA,7.88,49.34
2011,Teledensity (per 100 Inhabitants),Andhra Pradesh,74.35,2.79,71.55,33.7,NA,180.32,NA,10.98,63.37
2012,Teledensity (per 100 Inhabitants),Andhra Pradesh,80.87,2.76,78.11,39.21,NA,189.25,NA,12.85,68.03
2013,Teledensity (per 100 Inhabitants),Andhra Pradesh,77.19,2.6,74.59,41.83,NA,169,NA,13.01,64.17
2014,Teledensity (per 100 Inhabitants),Andhra Pradesh,79.52,2.35,77.17,45.53,NA,167.61,NA,13.31,66.22
2015,Teledensity (per 100 Inhabitants),Andhra Pradesh,84.15,2.13,82.02,49.04,NA,174.94,NA,12.65,71.5
2016,Teledensity (per 100 Inhabitants),Andhra Pradesh,86.4,1.96,84.43,51.36,NA,176.81,NA,12.43,73.96
2017,Teledensity (per 100 Inhabitants),Andhra Pradesh,97.18,1.84,95.34,60.35,NA,192.02,NA,12.5,84.68
2018,Teledensity (per 100 Inhabitants),Andhra Pradesh,97.21,1.65,95.56,61.37,NA,189.3,NA,12.46,84.75
2019,Teledensity (per 100 Inhabitants),Andhra Pradesh,97.55,1.59,95.96,64.96,NA,181.15,NA,12.32,85.24
2020,Teledensity (per 100 Inhabitants),Andhra Pradesh,97.88,1.34,96.55,66.05,NA,179.35,NA,11.69,86.19
2021,Teledensity (per 100 Inhabitants),Andhra Pradesh,99.56,1.56,98,82.59,NA,125.04,NA,11.32,88.24
2022,Teledensity (per 100 Inhabitants),Andhra Pradesh,93.63,2.19,91.43,76.94,NA,118.01,NA,10.99,82.64
2008,Teledensity (per 100 Inhabitants),Assam,14.74,1.46,13.28,4.44,NA,76.3,NA,4.58,10.16
2009,Teledensity (per 100 Inhabitants),Assam,20.65,1.18,19.47,9.36,NA,87,NA,4.44,16.21
2010,Teledensity (per 100 Inhabitants),Assam,29.99,1.02,28.97,18.47,NA,96.55,NA,4.8,25.2
2011,Teledensity (per 100 Inhabitants),Assam,38.98,0.84,38.14,23.93,NA,124.46,NA,5.69,33.3
2012,Teledensity (per 100 Inhabitants),Assam,46.61,0.74,45.87,28.35,NA,148.57,NA,4.82,41.79
2013,Teledensity (per 100 Inhabitants),Assam,46.51,0.62,45.89,31.13,NA,130.91,NA,4.56,41.95
2014,Teledensity (per 100 Inhabitants),Assam,48.74,0.58,48.16,34.36,NA,126.27,NA,4.61,44.13
2015,Teledensity (per 100 Inhabitants),Assam,53.95,0.52,53.43,39.18,NA,132.26,NA,4.45,49.5
